id,titulo,autor,saga,orden_saga,genero,editorial,formato,edicion_especial,detalles_edicion,imagen_portada_url,valoracion_personal,resena_personal,estado,paginas_total,paginas_leidas,fecha_inicio,fecha_fin,tiempo_lectura_min,cita_favorita,etiquetas
LIB0001,Trono de Cristal,Sarah J. Maas,Trono de Cristal,1.0,Fantasía,,Tapa blanda blanca,1,Tapa blanda blanca,,,,Leído,0,0,,,0,,
LIB0002,Corona de Medianoche,Sarah J. Maas,Trono de Cristal,2.0,Fantasía,,Tapa blanda blanca,1,Tapa blanda blanca,,,,Leído,0,0,,,0,,
LIB0003,Heredera de Fuego,Sarah J. Maas,Trono de Cristal,3.0,Fantasía,,Tapa blanda blanca,1,Tapa blanda blanca,,,,Leído,0,0,,,0,,
LIB0004,Reina de Sombras,Sarah J. Maas,Trono de Cristal,4.0,Fantasía,,Tapa blanda blanca,1,Tapa blanda blanca,,,,Leído,0,0,,,0,,
LIB0005,Imperio de Tormentas,Sarah J. Maas,Trono de Cristal,5.0,Fantasía,,Tapa blanda blanca,1,Tapa blanda blanca,,,,Leído,0,0,,,0,,
LIB0006,Torre del Alba,Sarah J. Maas,Trono de Cristal,6.0,Fantasía,,Tapa blanda blanca,1,Tapa blanda blanca,,,,Leído,0,0,,,0,,
LIB0007,Reino de Cenizas,Sarah J. Maas,Trono de Cristal,7.0,Fantasía,,Tapa blanda blanca,1,Tapa blanda blanca,,,,Leído,0,0,,,0,,
LIB0008,La Espada de la Asesina,Sarah J. Maas,Trono de Cristal,0.0,Fantasía,,Tapa blanda blanca,1,Tapa blanda blanca,,,,Leído,0,0,,,0,,
LIB0009,Una Corte de Rosas y Espinas,Sarah J. Maas,ACOTAR,1.0,Romantasy,,Tapa dura,1,Tapa dura,,,,Leído,0,0,,,0,,
LIB0010,Una Corte de Niebla y Furia,Sarah J. Maas,ACOTAR,2.0,Romantasy,,Tapa dura,1,Tapa dura,,,,Leído,0,0,,,0,,
LIB0011,Una Corte de Alas y Ruina,Sarah J. Maas,ACOTAR,3.0,Romantasy,,Tapa dura,1,Tapa dura,,,,Leído,0,0,,,0,,
LIB0012,Una Corte de Hielo y Estrellas,Sarah J. Maas,ACOTAR,4.0,Romantasy,,Tapa dura,1,Tapa dura,,,,Leído,0,0,,,0,,
LIB0013,Una Corte de Llamas de Plata,Sarah J. Maas,ACOTAR,5.0,Romantasy,,Tapa dura,1,Tapa dura,,,,Leído,0,0,,,0,,
LIB0014,Casa de Tierra y Sangre,Sarah J. Maas,Crescent City,1.0,Romantasy,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0015,Casa de Cielo y Aliento,Sarah J. Maas,Crescent City,2.0,Romantasy,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0016,Casa de Llama y Sombra,Sarah J. Maas,Crescent City,3.0,Romantasy,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0017,Alas de Sangre,Rebecca Yarros,Empíreo,1.0,Romantasy,,Cantos decorados,1,Cantos decorados,,,,Leído,0,0,,,0,,
LIB0018,Alas de Hierro,Rebecca Yarros,Empíreo,2.0,Romantasy,,Cantos decorados,1,Cantos decorados,,,,Leído,0,0,,,0,,
LIB0019,La Guerra de la Amapola,R.F. Kuang,The Poppy War,1.0,Fantasía,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0020,La República del Dragón,R.F. Kuang,The Poppy War,2.0,Fantasía,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0021,El Dios de la Llama Ardiente,R.F. Kuang,The Poppy War,3.0,Fantasía,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0022,Babel,R.F. Kuang,,,Histórica,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0023,Yellowface,R.F. Kuang,,,Ficción,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0024,Caraval,Stephanie Garber,Caraval,1.0,Fantasía,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0025,Legendary,Stephanie Garber,Caraval,2.0,Fantasía,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0026,Finale,Stephanie Garber,Caraval,3.0,Fantasía,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0027,Érase una vez un corazón roto,Stephanie Garber,Destino,1.0,Romantasy,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0028,La balada de nunca jamás,Stephanie Garber,Destino,2.0,Romantasy,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0029,La maldición del amor verdadero,Stephanie Garber,Destino,3.0,Romantasy,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0030,Anhelo,Tracy Wolff,Crave,1.0,Paranormal,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0031,Furia,Tracy Wolff,Crave,2.0,Paranormal,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0032,Ansia,Tracy Wolff,Crave,3.0,Paranormal,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0033,Fulgor,Tracy Wolff,Crave,4.0,Paranormal,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0034,Hechizo,Tracy Wolff,Crave,5.0,Paranormal,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0035,Charm,Tracy Wolff,Crave,6.0,Paranormal,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0036,El Príncipe Cruel,Holly Black,Habitantes del Aire,1.0,Fantasía,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0037,El Rey Malvado,Holly Black,Habitantes del Aire,2.0,Fantasía,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0038,La Reina de la Nada,Holly Black,Habitantes del Aire,3.0,Fantasía,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0039,El heredero traicionado,Holly Black,El Heredero,1.0,Fantasía,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0040,Asesino de Brujas,Shelby Mahurin,S&D,1.0,Romantasy,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0041,Los hijos del rey,Shelby Mahurin,S&D,2.0,Romantasy,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0042,Dioses y monstruos,Shelby Mahurin,S&D,3.0,Romantasy,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0043,De Sangre y Cenizas,J.L. Armentrout,Sangre y Cenizas,1.0,Romantasy,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0044,Un Reino de Carne y Fuego,J.L. Armentrout,Sangre y Cenizas,2.0,Romantasy,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0045,Una Corona de Huesos Dorados,J.L. Armentrout,Sangre y Cenizas,3.0,Romantasy,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0046,La Guerra de las Dos Reinas,J.L. Armentrout,Sangre y Cenizas,4.0,Romantasy,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0047,Una Sombra en las Brasas,J.L. Armentrout,De Carne y Fuego,1.0,Romantasy,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0048,Powerless,Lauren Roberts,Powerless,1.0,Romantasy,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0049,Reckless,Lauren Roberts,Powerless,2.0,Romantasy,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0050,Belladonna,Adalyn Grace,Belladonna,1.0,Fantasía,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0051,Foxglove,Adalyn Grace,Belladonna,2.0,Fantasía,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0052,Donde todo brilla,Alice Kellen,,,Romance,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0053,El mapa de los anhelos,Alice Kellen,,,Romance,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0054,Nosotros en la luna,Alice Kellen,,,Romance,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0055,La teoría de los archipiélagos,Alice Kellen,,,Romance,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0056,"Tú y yo, invencibles",Alice Kellen,,,Romance,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0057,Las alas de Sophie,Alice Kellen,,,Romance,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0058,Todo lo que nunca fuimos,Alice Kellen,Deja que ocurra,1.0,Romance,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0059,Todo lo que somos juntos,Alice Kellen,Deja que ocurra,2.0,Romance,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0060,23 otoños antes de ti,Alice Kellen,Volver a ti,2.0,Romance,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0061,33 razones para volver a verte,Alice Kellen,Volver a ti,1.0,Romance,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0062,13 locuras que regalarte,Alice Kellen,Volver a ti,3.0,Romance,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0063,El chico que dibujaba constelaciones,Alice Kellen,,,Romance,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0064,Sigue lloviendo,Alice Kellen,,,Romance,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0065,Llevame a cualquier lugar,Alice Kellen,,,Romance,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0066,Antes de diciembre,Joana Marcús,Meses,1.0,Juvenil,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0067,Después de diciembre,Joana Marcús,Meses,2.0,Juvenil,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0068,Tres meses,Joana Marcús,Meses,3.0,Juvenil,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0069,Las luces de febrero,Joana Marcús,Meses,4.0,Juvenil,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0070,Etéreo,Joana Marcús,Extraños,1.0,Juvenil,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0071,Sempiterno,Joana Marcús,Extraños,2.0,Juvenil,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0072,La hipótesis del amor,Ali Hazelwood,,,Romance,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0073,La química del amor,Ali Hazelwood,,,Romance,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0074,La teoría del amor,Ali Hazelwood,,,Romance,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0075,Jaque mate al amor,Ali Hazelwood,,,Juvenil,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0076,Amor teóricamente,Ali Hazelwood,,,Romance,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0077,Heartstopper 1,Alice Oseman,Heartstopper,1.0,Cómics,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0078,Heartstopper 2,Alice Oseman,Heartstopper,2.0,Cómics,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0079,Heartstopper 3,Alice Oseman,Heartstopper,3.0,Cómics,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0080,Heartstopper 4,Alice Oseman,Heartstopper,4.0,Cómics,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0081,Heartstopper 5,Alice Oseman,Heartstopper,5.0,Cómics,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0082,Nick y Charlie,Alice Oseman,Heartstopper Novellas,1.0,Juvenil,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0083,Solitaire,Alice Oseman,,,Juvenil,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0084,Radio Silencio,Alice Oseman,,,Juvenil,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0085,Nací para esto,Alice Oseman,,,Juvenil,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
LIB0086,Loveless,Alice Oseman,,,Juvenil,,Tapa blanda,0,,,,,Leído,0,0,,,0,,
